,date,time,distance(m),speed(mm/s),heart_rate(bpm),position_lat,position_long
291,2018-12-10,08:16:20,2268.86,5703,87,33.64953191019595,73.03232372738421
292,2018-12-10,08:16:24,2281.18,2471,87,33.64942696876824,73.03236697800457
293,2018-12-10,08:16:32,2301.22,2306,88,33.64927508868277,73.0324828159064
294,2018-12-10,08:16:50,2322.28,773,88,33.649237202480435,73.0324592627585
295,2018-12-10,08:16:58,2334.29,933,89,33.649144330993295,73.03252531215549
296,2018-12-10,08:17:04,2339.27,921,91,33.64910300821066,73.03253905847669
297,2018-12-10,08:17:08,2342.32,904,92,33.64907777868211,73.03253386169672
298,2018-12-10,08:18:17,2377.12,665,87,33.6490922793746,73.03271650336683
299,2018-12-10,08:18:35,2394.18,924,87,33.64908590912819,73.0325885117054
300,2018-12-10,08:18:37,2397.3,949,86,33.649094542488456,73.03255682811141
301,2018-12-10,08:18:44,2403.67,969,86,33.649100326001644,73.03249396383762
302,2018-12-10,08:18:53,2417.27,1115,83,33.64914500154555,73.03237996995449
303,2018-12-10,08:19:13,2435.87,1072,80,33.649180456995964,73.03220830857754
304,2018-12-10,08:19:21,2438.91,1028,78,33.64918230101466,73.03220629692078
305,2018-12-10,08:19:28,2438.91,1253,75,33.64912706427276,73.03240067325532
306,2018-12-10,08:19:41,2447.39,1282,73,33.649091525003314,73.03258448839188
307,2018-12-10,08:19:42,2447.93,1273,73,33.649089178070426,73.0325935408473
308,2018-12-10,08:19:48,2451.56,1226,73,33.649071492254734,73.03263838402927
309,2018-12-10,08:19:52,2452.87,1157,71,33.64908297546208,73.03263394162059
310,2018-12-10,08:19:54,2453.85,1133,71,33.649091105908155,73.0326387193054
311,2018-12-10,08:20:01,2459.34,1091,68,33.64913578145206,73.03266176953912
312,2018-12-10,08:20:02,2459.79,1084,65,33.64914164878428,73.03265858441591
313,2018-12-10,08:21:05,2530.31,1292,70,33.649265030398965,73.03219933994114
314,2018-12-10,08:21:09,2534.93,1291,69,33.64923829212785,73.03224242292345
315,2018-12-10,08:21:11,2540.76,1364,66,33.649201495572925,73.03229288198054
316,2018-12-10,08:21:16,2551.56,1445,64,33.64917056635022,73.03239656612277
317,2018-12-10,08:21:29,2557.72,1291,65,33.64915547892451,73.03242581896484
318,2018-12-10,08:21:31,2557.72,1232,66,33.649156987667084,73.03242112509906
319,2018-12-10,08:21:36,2559.21,1637,71,33.64908104762435,73.03263536654413
320,2018-12-10,08:21:38,2559.96,1563,75,33.649074928835034,73.03263176232576
321,2018-12-10,08:21:40,2560.03,1509,76,33.649072498083115,73.03263310343027
322,2018-12-10,08:21:41,2560.63,1491,79,33.649068558588624,73.03263754583895
323,2018-12-10,08:21:44,2560.85,1421,83,33.64906093105674,73.0326405633241
324,2018-12-10,08:21:47,2560.86,1352,86,33.64905699156225,73.03264701738954
325,2018-12-10,08:21:48,2561.22,1332,89,33.649053974077106,73.032645592466
326,2018-12-10,08:21:49,2561.53,1313,89,33.64905313588679,73.03264953196049
327,2018-12-10,08:21:59,2566.99,1235,92,33.64904114976525,73.03268951363862
328,2018-12-10,08:22:00,2567.26,1220,96,33.64903964102268,73.0326971411705
329,2018-12-10,08:22:01,2568.28,1218,102,33.64904835820198,73.0326902680099
330,2018-12-10,08:22:02,2569.48,1220,104,33.64905875176191,73.03268423303962
331,2018-12-10,08:22:03,2570.9,1226,104,33.64906897768378,73.03267501294613
332,2018-12-10,08:22:05,2572.96,1220,103,33.64908305928111,73.03265757858753
333,2018-12-10,08:22:07,2575.14,1213,100,33.64909973926842,73.0326450895518
334,2018-12-10,08:22:13,2582.05,1218,99,33.64915086887777,73.03260276094079
335,2018-12-10,08:22:21,2593.02,1254,97,33.64923167042434,73.03253285586834
336,2018-12-10,08:22:22,2594.35,1257,100,33.649242985993624,73.03252732381225
337,2018-12-10,08:22:26,2601.34,1315,97,33.6492960434407,73.03248600102961
338,2018-12-10,08:22:34,2606.68,609,100,33.64930870011449,73.03252170793712
339,2018-12-10,08:22:36,2607.64,602,106,33.64930526353419,73.03253151476383
340,2018-12-10,08:22:39,2608.57,599,109,33.64930040203035,73.03253151476383
341,2018-12-10,08:22:40,2608.57,594,105,33.64930098876357,73.03252757526934
